

 NAS Parallel Benchmarks (NPB3.3-SER) - CG Benchmark

 Size:      150000
 Iterations:    75
 
 Initialization time =          18.559 seconds

   iteration           ||r||                 zeta
        1       0.16734390582157E-12   109.9994423237398
        2       0.47241404681477E-15    27.3920437146527
        3       0.47060724184428E-15    28.0339761840271
        4       0.47211321855401E-15    28.4191507551295
        5       0.47165797772136E-15    28.6471670038893
        6       0.47180519747105E-15    28.7812969418433
        7       0.47287404109680E-15    28.8600458537358
        8       0.47045596488320E-15    28.9063145572687
        9       0.47378580805986E-15    28.9335649214618
       10       0.47383258006751E-15    28.9496695448996
       11       0.47626709206469E-15    28.9592263353752
       12       0.47155305747873E-15    28.9649233484900
       13       0.47247305948289E-15    28.9683359248930
       14       0.47439936787079E-15    28.9703903960011
       15       0.47148900181470E-15    28.9716336228372
       16       0.47408638082605E-15    28.9723898600852
       17       0.47378811622192E-15    28.9728522692223
       18       0.47104860889348E-15    28.9731364797779
       19       0.47040980203147E-15    28.9733120569289
       20       0.46750339350358E-15    28.9734210663748
       21       0.47046563369260E-15    28.9734890760560
       22       0.46953474492851E-15    28.9735317064862
       23       0.46893107575086E-15    28.9735585497260
       24       0.46902662265534E-15    28.9735755256638
       25       0.47045578139019E-15    28.9735863059377
       26       0.47008032190976E-15    28.9735931787366
       27       0.47037249159713E-15    28.9735975767359
       28       0.46857690074904E-15    28.9736004009980
       29       0.46917459918433E-15    28.9736022206768
       30       0.46744335501040E-15    28.9736033967626
       31       0.46839443714873E-15    28.9736041591147
       32       0.47079798781218E-15    28.9736046546409
       33       0.46625623675874E-15    28.9736049775615
       34       0.46630723808152E-15    28.9736051885107
       35       0.46691442233898E-15    28.9736053266258
       36       0.46600494593849E-15    28.9736054172456
       37       0.46560085571077E-15    28.9736054768223
       38       0.46806137071355E-15    28.9736055160636
       39       0.46528851635702E-15    28.9736055419576
       40       0.46691018098438E-15    28.9736055590701
       41       0.46358687391746E-15    28.9736055703980
       42       0.46659605000257E-15    28.9736055779076
       43       0.46740320874753E-15    28.9736055828935
       44       0.46567805962477E-15    28.9736055862070
       45       0.46462385307971E-15    28.9736055884129
       46       0.46225906479245E-15    28.9736055898831
       47       0.46400739754799E-15    28.9736055908639
       48       0.46402707098894E-15    28.9736055915176
       49       0.46134640195408E-15    28.9736055919553
       50       0.46078005263306E-15    28.9736055922493
       51       0.46234545529072E-15    28.9736055924446
       52       0.46208809316931E-15    28.9736055925759
       53       0.46214059894624E-15    28.9736055926634
       54       0.46340652238021E-15    28.9736055927229
       55       0.46203636216533E-15    28.9736055927627
       56       0.46148099686972E-15    28.9736055927901
       57       0.46223321514430E-15    28.9736055928086
       58       0.46055315965331E-15    28.9736055928198
       59       0.45922784243320E-15    28.9736055928293
       60       0.46180653636619E-15    28.9736055928339
       61       0.46010948972906E-15    28.9736055928380
       62       0.45886270210029E-15    28.9736055928404
       63       0.45958991916658E-15    28.9736055928418
       64       0.46026473876949E-15    28.9736055928419
       65       0.45552562431626E-15    28.9736055928438
       66       0.45563708282267E-15    28.9736055928444
       67       0.45755747385196E-15    28.9736055928450
       68       0.45735133390579E-15    28.9736055928444
       69       0.45715625986013E-15    28.9736055928461
       70       0.45774473634092E-15    28.9736055928448
       71       0.45751715784468E-15    28.9736055928457
       72       0.45651382817484E-15    28.9736055928459
       73       0.45625685357855E-15    28.9736055928442
       74       0.45795462567620E-15    28.9736055928455
       75       0.45519991683518E-15    28.9736055928446
 Benchmark completed 
 VERIFICATION SUCCESSFUL 
 Zeta is     0.2897360559284E+02
 Error is    0.1410118156516E-13


 CG Benchmark Completed.
 Class           =                        C
 Size            =                   150000
 Iterations      =                       75
 Time in seconds =                   379.43
 Mop/s total     =                   377.80
 Operation type  =           floating point
 Verification    =               SUCCESSFUL
 Version         =                    3.3.1
 Compile date    =              22 Feb 2016

 Compile options:
    F77          = ifort
    FLINK        = $(F77)
    F_LIB        = (none)
    F_INC        = (none)
    FFLAGS       = -O -O2 -O3 -vec-report3
    FLINKFLAGS   = -O
    RAND         = randi8


 Please send all errors/feedbacks to:

 NPB Development Team
 npb@nas.nasa.gov


