"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","search6",,,,"User:","a57816"
"Cmdline:","dstat -tvfnml --output __.csv",,,,"Date:","22 Feb 2016 19:55:37 WET"

"system","procs",,,"memory usage",,,,"paging",,"dsk/sda",,"system",,"cpu0 usage",,,,,,"net/eth0",,"net/eth1",,"memory usage",,,,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","recv","send","recv","send","used","buff","cach","free","1m","5m","15m"
22-02 19:55:37,0.0,0.0,2.465,1279127552.0,20537344.0,2032922624.0,822083584.0,1079.351,1447.578,105411.899,29652.472,920.039,89495.876,15.713,29.728,53.081,0.715,0.107,0.656,0.0,0.0,0.0,0.0,1279127552.0,20537344.0,2032922624.0,822083584.0,0.420,0.410,0.450
22-02 19:55:38,1.0,0.0,1.0,1278922752.0,20537344.0,2033889280.0,821321728.0,0.0,0.0,0.0,0.0,2118.0,3182.0,4.167,1.042,94.792,0.0,0.0,0.0,9425.0,14885.0,985462.0,30148.0,1278922752.0,20537344.0,2033889280.0,821321728.0,0.420,0.410,0.450
22-02 19:55:39,1.0,0.0,0.0,1279098880.0,20537344.0,2034728960.0,820305920.0,0.0,0.0,0.0,196608.0,2025.0,3073.0,2.083,1.042,95.833,0.0,0.0,1.042,2380.0,5616.0,911706.0,29082.0,1279098880.0,20537344.0,2034728960.0,820305920.0,0.420,0.410,0.450
22-02 19:55:40,1.0,0.0,0.0,1279135744.0,20537344.0,2035580928.0,819417088.0,0.0,0.0,0.0,0.0,1981.0,3068.0,3.125,0.0,95.833,0.0,1.042,0.0,4360.0,0.0,923286.0,28052.0,1279135744.0,20537344.0,2035580928.0,819417088.0,0.420,0.410,0.450
22-02 19:55:41,1.0,0.0,0.0,1279139840.0,20537344.0,2036465664.0,818528256.0,0.0,0.0,0.0,0.0,1996.0,3086.0,2.105,1.053,96.842,0.0,0.0,0.0,4364.0,320.0,916130.0,28952.0,1279139840.0,20537344.0,2036465664.0,818528256.0,0.420,0.410,0.450
22-02 19:55:42,1.0,0.0,0.0,1279152128.0,20545536.0,2037460992.0,817512448.0,0.0,0.0,0.0,16384.0,2079.0,3157.0,3.158,1.053,92.632,3.158,0.0,0.0,5407.0,751.0,1003084.0,29744.0,1279152128.0,20545536.0,2037460992.0,817512448.0,0.380,0.400,0.450
22-02 19:55:43,1.0,0.0,1.0,1282060288.0,20545536.0,2038243328.0,813821952.0,0.0,0.0,0.0,0.0,2097.0,2997.0,10.101,6.061,82.828,0.0,0.0,1.010,6901.0,1654.0,900887.0,28264.0,1282060288.0,20545536.0,2038243328.0,813821952.0,0.380,0.400,0.450
22-02 19:55:44,1.0,0.0,0.0,1279217664.0,20545536.0,2039173120.0,815734784.0,0.0,0.0,0.0,20480.0,2060.0,3212.0,4.211,1.053,93.684,0.0,1.053,0.0,25674.0,178.0,967646.0,79368.0,1279217664.0,20545536.0,2039173120.0,815734784.0,0.380,0.400,0.450
22-02 19:55:45,1.0,0.0,0.0,1279217664.0,20553728.0,2040053760.0,814845952.0,0.0,0.0,0.0,24576.0,1978.0,3014.0,3.125,1.042,93.750,2.083,0.0,0.0,29507.0,1277.0,886848.0,26860.0,1279217664.0,20553728.0,2040053760.0,814845952.0,0.380,0.400,0.450
22-02 19:55:46,1.0,0.0,0.0,1279266816.0,20553728.0,2041020416.0,813830144.0,0.0,0.0,0.0,0.0,2073.0,3213.0,3.158,1.053,95.789,0.0,0.0,0.0,16848.0,110.0,996187.0,29610.0,1279266816.0,20553728.0,2041020416.0,813830144.0,0.380,0.400,0.450
