

 NAS Parallel Benchmarks (NPB3.3-SER) - CG Benchmark

 Size:       75000
 Iterations:    75
 
 Initialization time =           5.958 seconds

   iteration           ||r||                 zeta
        1       0.11907715152347E-12    59.9994751578754
        2       0.47424425801634E-15    21.7627846142541
        3       0.49935593228281E-15    22.2876617043227
        4       0.50615917750324E-15    22.5230738188351
        5       0.50849051837049E-15    22.6275390653891
        6       0.51172732291993E-15    22.6740259189539
        7       0.51242498238304E-15    22.6949056826253
        8       0.51190567397756E-15    22.7044023166870
        9       0.51460588806968E-15    22.7087834345619
       10       0.51100596461341E-15    22.7108351397171
       11       0.51012698256680E-15    22.7118107121336
       12       0.51214482262288E-15    22.7122816240974
       13       0.50735269912551E-15    22.7125122663245
       14       0.50820268754452E-15    22.7126268007596
       15       0.50794247305005E-15    22.7126844161817
       16       0.50801421192392E-15    22.7127137461758
       17       0.50680286093381E-15    22.7127288401997
       18       0.50291872578298E-15    22.7127366848298
       19       0.50490676909386E-15    22.7127407981218
       20       0.50359885023688E-15    22.7127429721361
       21       0.50249011591840E-15    22.7127441294026
       22       0.50207420537192E-15    22.7127447493901
       23       0.50288385942807E-15    22.7127450834528
       24       0.50157380381873E-15    22.7127452643881
       25       0.50770123784168E-15    22.7127453628461
       26       0.50182497393210E-15    22.7127454166512
       27       0.49971555384069E-15    22.7127454461690
       28       0.50020453317956E-15    22.7127454624205
       29       0.49398370151410E-15    22.7127454713972
       30       0.49917662741499E-15    22.7127454763702
       31       0.49886503430229E-15    22.7127454791334
       32       0.49663896336081E-15    22.7127454806726
       33       0.49710381708795E-15    22.7127454815327
       34       0.49387525024690E-15    22.7127454820134
       35       0.49578500418846E-15    22.7127454822834
       36       0.49486886245383E-15    22.7127454824348
       37       0.49460636024068E-15    22.7127454825208
       38       0.48984582016167E-15    22.7127454825689
       39       0.49264832978967E-15    22.7127454825958
       40       0.49182306579349E-15    22.7127454826114
       41       0.49363146404790E-15    22.7127454826202
       42       0.49078730167627E-15    22.7127454826250
       43       0.49135558382431E-15    22.7127454826280
       44       0.49177985207353E-15    22.7127454826298
       45       0.48760877530473E-15    22.7127454826305
       46       0.48728971819578E-15    22.7127454826311
       47       0.48951181255954E-15    22.7127454826316
       48       0.49044945554799E-15    22.7127454826315
       49       0.48511101846423E-15    22.7127454826315
       50       0.48668350277281E-15    22.7127454826316
       51       0.48376303405117E-15    22.7127454826315
       52       0.48153084709550E-15    22.7127454826319
       53       0.47623474057867E-15    22.7127454826315
       54       0.47962140246309E-15    22.7127454826319
       55       0.47986603207481E-15    22.7127454826318
       56       0.48070958708693E-15    22.7127454826318
       57       0.48159280664262E-15    22.7127454826317
       58       0.47784478795576E-15    22.7127454826316
       59       0.47705442384497E-15    22.7127454826314
       60       0.48018291266552E-15    22.7127454826317
       61       0.47712546455464E-15    22.7127454826316
       62       0.47613249457064E-15    22.7127454826314
       63       0.47602153665765E-15    22.7127454826316
       64       0.47848268320686E-15    22.7127454826314
       65       0.47360858718646E-15    22.7127454826317
       66       0.47607049645026E-15    22.7127454826317
       67       0.47576118534338E-15    22.7127454826314
       68       0.47073081876155E-15    22.7127454826315
       69       0.46699463891763E-15    22.7127454826315
       70       0.46900817478298E-15    22.7127454826318
       71       0.47140958741565E-15    22.7127454826318
       72       0.47252057714064E-15    22.7127454826318
       73       0.46974614783399E-15    22.7127454826316
       74       0.46954452032930E-15    22.7127454826318
       75       0.46970814182708E-15    22.7127454826319
 Benchmark completed 
 VERIFICATION SUCCESSFUL 
 Zeta is     0.2271274548263E+02
 Error is    0.4098187885553E-13


 CG Benchmark Completed.
 Class           =                        B
 Size            =                    75000
 Iterations      =                       75
 Time in seconds =                   127.08
 Mop/s total     =                   430.50
 Operation type  =           floating point
 Verification    =               SUCCESSFUL
 Version         =                    3.3.1
 Compile date    =              22 Feb 2016

 Compile options:
    F77          = ifort
    FLINK        = $(F77)
    F_LIB        = (none)
    F_INC        = (none)
    FFLAGS       = -O 
    FLINKFLAGS   = -O
    RAND         = randi8


 Please send all errors/feedbacks to:

 NPB Development Team
 npb@nas.nasa.gov


