24-02 07:08:12,0.0,1089359872.0,66271682560.0
24-02 07:08:13,5.0,1558003712.0,65803034624.0
24-02 07:08:14,24.0,1992548352.0,65368481792.0
24-02 07:08:15,24.0,1992531968.0,65368498176.0
24-02 07:08:16,24.0,1992654848.0,65368371200.0
24-02 07:08:17,2.0,1990316032.0,65370710016.0
24-02 07:08:18,2.0,1990176768.0,65370841088.0
24-02 07:08:19,24.0,1990172672.0,65370841088.0
24-02 07:08:20,24.0,1989910528.0,65371103232.0
24-02 07:08:21,24.0,1989783552.0,65371230208.0
24-02 07:08:22,2.0,1985712128.0,65375297536.0
24-02 07:08:23,4.0,1985470464.0,65375539200.0
24-02 07:08:24,4.0,1985339392.0,65375666176.0
24-02 07:08:25,24.0,1985339392.0,65375666176.0
24-02 07:08:26,9.0,1985191936.0,65375809536.0
24-02 07:08:27,24.0,1985073152.0,65375928320.0
24-02 07:08:28,4.0,1985073152.0,65375928320.0
24-02 07:08:29,24.0,1985073152.0,65375928320.0
24-02 07:08:30,24.0,1984925696.0,65376071680.0
24-02 07:08:31,3.0,1984925696.0,65376071680.0
24-02 07:08:32,4.0,1984929792.0,65376063488.0
24-02 07:08:33,6.0,1984917504.0,65376075776.0
24-02 07:08:34,6.0,1984917504.0,65376075776.0
24-02 07:08:35,4.0,1984909312.0,65376083968.0
24-02 07:08:36,3.0,1984905216.0,65376083968.0
24-02 07:08:37,4.0,1984913408.0,65376075776.0
24-02 07:08:38,24.0,1984909312.0,65376075776.0
24-02 07:08:39,24.0,1984909312.0,65376075776.0
24-02 07:08:40,24.0,1984905216.0,65376075776.0
24-02 07:08:41,2.0,1984905216.0,65376075776.0
24-02 07:08:42,23.0,1984905216.0,65376075776.0
24-02 07:08:43,24.0,1984897024.0,65376083968.0
24-02 07:08:44,24.0,1984892928.0,65376083968.0
24-02 07:08:45,24.0,1985019904.0,65375956992.0
24-02 07:08:46,24.0,1985007616.0,65375965184.0
24-02 07:08:47,0.0,1110872064.0,66250092544.0
24-02 07:08:48,0.0,1110843392.0,66250117120.0
24-02 07:08:49,0.0,1110183936.0,66250772480.0
24-02 07:08:50,0.0,1110183936.0,66250772480.0
24-02 07:08:51,0.0,1110155264.0,66250797056.0
