

 NAS Parallel Benchmarks (NPB3.3-OMP) - CG Benchmark

 Size:       75000
 Iterations:                     75
 Number of available threads:     1
 
 Initialization time =           5.575 seconds

   iteration           ||r||                 zeta
        1       0.11897141850750E-12    59.9994751578754
        2       0.47491659123961E-15    21.7627846142541
        3       0.49747529457787E-15    22.2876617043227
        4       0.50498706176147E-15    22.5230738188351
        5       0.50758048786512E-15    22.6275390653891
        6       0.51009058673947E-15    22.6740259189539
        7       0.51604001341845E-15    22.6949056826253
        8       0.51150430526484E-15    22.7044023166869
        9       0.51504398567200E-15    22.7087834345619
       10       0.51058638256373E-15    22.7108351397171
       11       0.51023825382720E-15    22.7118107121335
       12       0.50849662997809E-15    22.7122816240974
       13       0.50768727333405E-15    22.7125122663245
       14       0.50797240308272E-15    22.7126268007596
       15       0.50895512628416E-15    22.7126844161818
       16       0.50783415059857E-15    22.7127137461758
       17       0.50729806688945E-15    22.7127288401997
       18       0.50334195036738E-15    22.7127366848298
       19       0.50425013217782E-15    22.7127407981219
       20       0.50363136661309E-15    22.7127429721361
       21       0.50442679541112E-15    22.7127441294026
       22       0.50298380639236E-15    22.7127447493901
       23       0.50718001376886E-15    22.7127450834528
       24       0.50115963450554E-15    22.7127452643881
